Sample_ID,Breed,Sex,Age,Condition,Horse_ID
LB2BBE8920,Arabian,stallion,4,Control,H24
LB2BBE8957,Arabian,mare,4,Control,H25
LB2BBE9008,Arabian,mare,3,Control,H10
LB2BBE9141,Thoroughbred,mare,3,Control,H1
LB2BBE9169,Thoroughbred,mare,3,Control,H37
LB2BBE9239,Thoroughbred,stallion,4,Control,H18
LB2BBE9549,Arabian,mare,3,Control,H46
LB2BBE9567,Thoroughbred,mare,3,Control,H47
LB2BBE9868,Thoroughbred,stallion,2,Control,H60
LB2BBF0536,Arabian,stallion,4,Control,H20
LB2BBF0572,Arabian,stallion,3,Control,H16
LB2BBF0934,Thoroughbred,stallion,2,Control,H62
LB2BBE8939,Arabian,mare,4,Case,H25
LB2BBE9017,Arabian,mare,3,Case,H10
LB2BBE9150,Thoroughbred,mare,3,Case,H1
LB2BBE9178,Thoroughbred,mare,3,Case,H37
LB2BBE9248,Thoroughbred,stallion,4,Case,H18
LB2BBE9284,Arabian,stallion,4,Case,H24
LB2BBE9558,Arabian,mare,3,Case,H46
LB2BBE9576,Thoroughbred,mare,3,Case,H47
LB2BBE9877,Thoroughbred,stallion,2,Case,H60
LB2BBF0545,Arabian,stallion,4,Case,H20
LB2BBF0581,Arabian,stallion,3,Case,H16
LB2BBF0943,Thoroughbred,stallion,2,Case,H62
