Sample_ID,Condition,Breed,Sex,Age,Horse_ID
LB2BBE9804,control,Arabian,stallion,3,H16
LB2BBE9947,control,Thoroughbred,mare,3,H47
LB2BBF0217,control,Arabian,mare,4,H25
LB2BBF0271,control,Arabian,mare,3,H10
LB2BBF0439,control,Arabian,stallion,4,H24
LB2BBF0590,control,Thoroughbred,mare,3,H37
LB2BBF0615,control,Thoroughbred,mare,3,H1
LB2BBF0679,control,Thoroughbred,stallion,4,H18
LB2BBF0758,control,Thoroughbred,stallion,2,H60
LB2BBF0794,control,Arabian,mare,3,H46
LB2BBF0819,control,Arabian,stallion,4,H20
LB2BBF0998,control,Thoroughbred,stallion,2,H62
LB2BBE9813,case,Arabian,stallion,3,H16
LB2BBE9956,case,Thoroughbred,mare,3,H47
LB2BBF0226,case,Arabian,mare,4,H25
LB2BBF0280,case,Arabian,mare,3,H10
LB2BBF0448,case,Arabian,stallion,4,H24
LB2BBF0688,case,Thoroughbred,stallion,4,H18
LB2BBF0767,case,Thoroughbred,stallion,2,H60
LB2BBF0800,case,Arabian,mare,3,H46
LB2BBF0828,case,Arabian,stallion,4,H20
LB2BBF1003,case,Thoroughbred,stallion,2,H62
LB2BBF0606,case,Thoroughbred,mare,3,H37
LB2BBF0624,case,Thoroughbred,mare,3,H1
